,COUNTRY,DIVISION,CATEGORY,SUB_CATEGORY,A_2019_Q1,A_2019_Q2,A_2019_Q3,A_2019_Q4,A_2019_FY,A_2020_Q1,A_2020_Q2,A_2020_Q3,A_2020_Q4,A_2020_FY,BS_2021_Q1,BS_2021_Q2,BS_2021_Q3,BS_2021_Q4,BS_2022_Q1,BS_2022_Q2,BS_2022_Q3,BS_2022_Q4,LC_2021_Q1,LC_2021_Q2,LC_2021_Q3,LC_2021_Q4,LC_2022_Q1,LC_2022_Q2,LC_2022_Q3,LC_2022_Q4,RI_2021_Q1,RI_2021_Q2,RI_2021_Q3,RI_2021_Q4,RI_2022_Q1,RI_2022_Q2,RI_2022_Q3,RI_2022_Q4,UL_TO_YTD_NOV,UW_BS_H1_2022_2021,UW_BS_H2_2022_2021,UW_BS_FY_2021_2020,UW_BS_FY_2022_2019,UW_BS_FY_2022_2021,UW_LC_H1_2022_2021,UW_LC_H2_2022_2021,UW_LC_FY_2021_2020,UW_LC_FY_2022_2019,UW_LC_FY_2022_2021,UW_RI_H1_2022_2021,UW_RI_H2_2022_2021,UW_RI_FY_2021_2020,UW_RI_FY_2022_2019,UW_RI_FY_2022_2021,BS_H1_2022_2021,BS_H2_2022_2021,BS_FY_2021_2020,BS_FY_2022_2019,BS_FY_2022_2021,LC_H1_2022_2021,LC_H2_2022_2021,LC_FY_2021_2020,LC_FY_2022_2019,LC_FY_2022_2021,RI_H1_2022_2021,RI_H2_2022_2021,RI_FY_2021_2020,RI_FY_2022_2019,RI_FY_2022_2021
71,Indonesia,F&R,Food,Tea,63.97,72.85,70.12,72.56,279.5,69.54,64.73,62.18,68.67,265.12,65.66,70.01,62.02,68.62,65.71,72.41,67.13,72.88,65.66,70.01,61.69,67.64,62.39,70.42,65.07,70.95,65.66,70.01,61.42,64.24,63.99,70.49,68.94,66.71,78.69,1.81,7.17,0.45,-0.49,4.44,-2.11,5.17,-0.05,-3.82,1.45,-0.87,7.95,-1.43,-3.35,3.37,1.81,7.17,0.45,-0.49,4.44,-2.11,5.17,-0.05,-3.82,1.45,-0.87,7.95,-1.43,-3.35,3.37
72,Indonesia,F&R,Food,Total,130.38,146.1,141.34,142.22,560.05,141.52,139.9,133.35,144.48,559.24,142.22,150.28,136.03,143.49,141.87,151.8,144.16,148.22,142.22,150.28,135.1,142.21,137.11,147.8,140.24,145.18,142.22,150.28,135.9,139.37,139.74,151.17,144.5,143.61,80.46,0.4,4.6,2.29,4.64,2.45,-2.59,2.93,1.89,1.84,0.09,-0.54,4.66,1.52,3.39,1.98,1.75,7.06,0.53,-0.27,4.36,-2.13,5.08,0.03,-3.57,1.39,-0.86,7.82,-1.31,-3.05,3.31
73,Indonesia,F&R,Ice Cream,Ice Cream,68.88,81.91,78.99,71.45,301.23,71.96,77.87,77.87,78.34,306.04,73.06,86.31,76.69,73.48,72.07,78.71,76.19,73.47,73.06,86.31,76.69,73.49,72.33,78.88,76.22,73.48,73.06,86.31,76.69,73.97,77.69,85.14,82.2,79.36,213.82,-5.39,-0.34,1.14,-0.26,-2.94,-5.12,-0.32,1.14,-0.11,-2.79,2.17,7.23,1.3,7.69,4.63,-5.39,-0.34,1.14,-0.26,-2.94,-5.12,-0.32,1.14,-0.11,-2.79,2.17,7.23,1.3,7.69,4.63
74,Indonesia,HC,Fabric Sensation,Fabric Sensation,66.7,66.87,67.34,66.87,267.79,71.05,63.8,64.44,68.5,267.79,70.47,72.56,67.71,69.13,70.53,71.02,69.86,71.14,70.47,72.56,67.66,68.61,68.68,68.94,67.79,69.2,70.47,72.56,68.23,69.11,70.55,74.68,69.53,71.21,104.62,-1.03,3.04,4.51,5.51,0.96,-3.78,0.53,4.3,2.55,-1.67,1.54,2.48,4.7,6.79,2.0,-1.03,3.04,4.51,5.51,0.96,-3.78,0.53,4.3,2.55,-1.67,1.54,2.48,4.7,6.79,2.0
75,Indonesia,HC,Fabric Solution,Fabric Solution,188.5,191.4,200.1,208.22,788.22,198.94,189.66,185.6,198.36,772.56,193.72,201.26,184.56,201.96,197.56,195.71,202.86,206.1,193.72,201.26,185.03,199.02,192.91,191.42,195.51,198.56,193.72,201.26,186.1,200.54,191.93,193.22,205.46,205.16,194.54,-0.43,5.81,1.16,1.78,2.65,-2.7,2.61,0.84,-1.25,-0.08,-2.49,6.2,1.17,0.96,1.81,-0.43,5.81,1.16,1.78,2.65,-2.7,2.61,0.84,-1.25,-0.08,-2.49,6.2,1.17,0.96,1.81
76,Indonesia,HC,Home & Hygiene,DWA,93.03,96.74,97.96,103.47,391.21,104.69,105.56,103.47,107.24,420.96,105.79,110.55,106.67,101.39,98.82,100.51,100.15,98.5,105.79,110.55,107.18,101.41,100.57,100.59,100.24,98.58,105.79,110.55,109.72,107.3,114.22,122.13,125.17,117.87,238.67,-7.86,-4.52,0.82,1.73,-6.22,-7.02,-4.68,0.94,2.24,-5.87,9.25,11.99,2.94,22.54,10.62,-7.86,-4.52,0.82,1.73,-6.22,-7.02,-4.68,0.94,2.24,-5.87,9.25,11.99,2.94,22.54,10.62
77,Indonesia,HC,Home & Hygiene,HHC,34.16,35.26,37.35,37.76,144.54,38.92,44.08,38.63,39.44,161.07,41.06,41.24,39.36,40.18,39.52,38.68,38.66,39.33,41.06,41.24,39.36,40.19,39.37,38.51,38.46,39.08,41.06,41.24,40.51,43.54,48.79,48.23,46.48,46.0,52.47,-4.98,-1.95,0.48,8.06,-3.49,-5.37,-2.52,0.49,7.53,-3.97,17.88,10.02,3.28,31.1,13.91,-4.98,-1.95,0.48,8.06,-3.49,-5.37,-2.52,0.49,7.53,-3.97,17.88,10.02,3.28,31.1,13.91
78,Indonesia,HC,Home & Hygiene,Total,127.19,132.0,135.31,141.23,535.75,143.61,149.64,142.1,146.68,582.03,146.85,151.79,146.03,141.57,138.34,139.19,138.81,137.83,146.85,151.79,146.54,141.6,139.94,139.1,138.7,137.66,146.85,151.79,150.23,150.84,163.01,170.36,171.65,163.87,291.14,-7.07,-3.81,0.72,3.44,-5.47,-6.56,-4.08,0.82,3.67,-5.35,11.63,11.44,3.04,24.85,11.53,-7.34,-4.06,0.76,2.87,-5.73,-6.72,-4.29,0.86,3.19,-5.53,10.81,11.63,3.0,24.08,11.21
79,Indonesia,BPC,Total,Total,614.63,641.71,671.06,678.37,2605.77,667.7,585.84,607.66,640.25,2501.48,629.7,667.81,620.04,664.63,675.5,687.54,700.41,708.21,629.7,667.81,615.38,654.85,645.69,648.13,661.16,661.54,629.7,667.81,620.71,656.31,666.38,673.63,686.64,705.98,1085.46,5.05,9.65,3.23,6.37,7.34,-0.28,4.13,2.65,0.41,1.9,3.27,9.05,2.92,4.87,6.14,4.57,8.86,2.77,6.43,6.7,-0.46,3.55,2.25,0.25,1.52,2.96,7.75,2.52,4.99,5.32
80,Indonesia,F&R,Total,Total,199.26,228.01,220.33,213.67,861.28,213.48,217.77,211.22,222.82,865.28,215.28,236.59,212.72,216.97,213.94,230.51,220.35,221.69,215.28,236.59,211.79,215.7,209.44,226.68,216.46,218.66,215.28,236.59,212.59,213.34,217.43,236.31,226.7,222.97,294.28,-1.64,2.87,1.88,2.93,0.56,-3.49,1.79,1.63,1.16,-0.92,0.42,5.57,1.45,4.89,2.92,-3.44,1.68,0.97,-0.26,-0.94,-4.3,1.16,0.84,-1.06,-1.65,1.34,7.39,0.59,4.75,4.27
