,COUNTRY,DIVISION,CATEGORY,SUB_CATEGORY,A_2019_Q1,A_2019_Q2,A_2019_Q3,A_2019_Q4,A_2019_FY,A_2020_Q1,A_2020_Q2,A_2020_Q3,A_2020_Q4,A_2020_FY,BS_2021_Q1,BS_2021_Q2,BS_2021_Q3,BS_2021_Q4,BS_2022_Q1,BS_2022_Q2,BS_2022_Q3,BS_2022_Q4,LC_2021_Q1,LC_2021_Q2,LC_2021_Q3,LC_2021_Q4,LC_2022_Q1,LC_2022_Q2,LC_2022_Q3,LC_2022_Q4,RI_2021_Q1,RI_2021_Q2,RI_2021_Q3,RI_2021_Q4,RI_2022_Q1,RI_2022_Q2,RI_2022_Q3,RI_2022_Q4,UL_TO_YTD_NOV,UW_BS_H1_2022_2021,UW_BS_H2_2022_2021,UW_BS_FY_2021_2020,UW_BS_FY_2022_2019,UW_BS_FY_2022_2021,UW_LC_H1_2022_2021,UW_LC_H2_2022_2021,UW_LC_FY_2021_2020,UW_LC_FY_2022_2019,UW_LC_FY_2022_2021,UW_RI_H1_2022_2021,UW_RI_H2_2022_2021,UW_RI_FY_2021_2020,UW_RI_FY_2022_2019,UW_RI_FY_2022_2021,BS_H1_2022_2021,BS_H2_2022_2021,BS_FY_2021_2020,BS_FY_2022_2019,BS_FY_2022_2021,LC_H1_2022_2021,LC_H2_2022_2021,LC_FY_2021_2020,LC_FY_2022_2019,LC_FY_2022_2021,RI_H1_2022_2021,RI_H2_2022_2021,RI_FY_2021_2020,RI_FY_2022_2019,RI_FY_2022_2021
92,Mexico,F&R,Total,Total,0.21,0.26,0.26,0.21,0.96,0.25,0.31,0.27,0.25,1.06,0.26,0.3,0.29,0.25,0.26,0.31,0.3,0.25,0.26,0.3,0.29,0.25,0.26,0.31,0.3,0.25,0.26,0.3,0.29,0.25,0.28,0.33,0.31,0.26,449.33,0.79,-0.17,4.34,15.46,0.32,2.16,-0.45,4.39,16.15,0.87,8.79,5.85,4.72,23.99,7.34,-0.23,-1.35,4.27,14.57,-0.76,1.7,-1.68,4.31,15.61,0.08,4.65,2.0,4.69,19.78,3.35
93,Mexico,Total,Total,Total,0.56,0.66,0.68,0.6,2.51,0.64,0.7,0.67,0.63,2.62,0.61,0.71,0.71,0.63,0.64,0.73,0.72,0.65,0.61,0.71,0.71,0.63,0.63,0.73,0.73,0.65,0.61,0.71,0.71,0.64,0.68,0.77,0.76,0.66,827.37,2.81,1.29,2.34,8.51,2.04,3.04,1.53,2.39,8.81,2.28,9.65,5.89,2.66,14.92,7.74,2.26,0.36,2.82,9.62,1.29,2.95,0.44,2.87,10.18,1.72,7.72,3.77,3.23,14.81,5.7
94,Netherlands,BPC,Deos,DEODORANT,37.0,44.31,45.85,42.13,169.29,40.55,41.4,45.64,40.86,168.45,40.42,44.05,46.95,43.6,41.9,47.68,49.7,45.7,40.42,44.05,46.95,43.61,42.04,47.14,49.97,45.83,40.42,44.05,46.95,44.01,42.58,49.27,51.62,47.17,52.64,6.05,5.36,3.9,9.27,5.69,5.58,5.78,3.91,9.27,5.68,8.74,8.6,4.15,12.62,8.67,6.05,5.36,3.9,9.27,5.69,5.58,5.78,3.91,9.27,5.68,8.74,8.6,4.15,12.62,8.67
95,Netherlands,BPC,Hair Care,SHAMPOO,33.48,35.12,36.25,35.0,139.86,37.69,35.87,36.11,36.29,145.96,38.64,36.45,37.61,37.43,38.51,38.23,39.76,39.49,38.64,36.45,37.61,37.23,38.14,37.63,39.38,39.58,38.64,36.45,37.61,37.13,41.26,39.87,40.63,40.29,48.95,2.21,5.6,2.86,11.53,3.9,0.91,5.52,2.71,10.63,3.21,8.05,8.27,2.65,15.87,8.16,2.21,5.6,2.86,11.53,3.9,0.91,5.52,2.71,10.63,3.21,8.05,8.27,2.65,15.87,8.16
96,Netherlands,F&R,Food,MEAL SOLUTIONS,48.59,45.64,45.06,47.14,186.43,55.44,49.25,48.8,52.01,205.5,52.97,48.36,46.89,50.27,56.61,51.43,50.3,54.12,52.97,48.36,46.89,51.12,58.01,53.2,52.4,55.87,52.97,48.36,46.89,49.78,55.07,51.62,51.19,54.99,72.06,6.63,7.48,-3.41,13.97,7.04,9.75,10.47,-3.0,17.73,10.1,5.3,9.84,-3.65,14.19,7.51,6.63,7.48,-3.41,13.97,7.04,9.75,10.47,-3.0,17.73,10.1,5.3,9.84,-3.65,14.19,7.51
97,Netherlands,F&R,Food,MEAT,53.02,33.34,36.44,68.73,191.52,68.02,39.83,40.41,72.59,220.85,62.73,38.72,36.34,67.42,57.37,29.27,31.04,64.49,62.73,38.72,36.34,65.98,54.72,30.26,27.78,61.88,62.73,38.72,36.34,64.74,53.94,26.16,26.58,57.35,82.12,-14.59,-7.94,-7.08,-4.88,-11.23,-16.23,-12.36,-7.74,-8.82,-14.29,-21.04,-16.96,-8.3,-14.35,-19.0,-14.59,-7.94,-7.08,-4.88,-11.23,-16.23,-12.36,-7.74,-8.82,-14.29,-21.04,-16.96,-8.3,-14.35,-19.0
98,Netherlands,F&R,Food,MEAT SUBSTITUTES,39.89,39.44,39.8,53.52,172.64,55.29,52.94,53.06,65.78,227.07,62.93,60.25,54.51,64.47,64.17,61.41,60.04,69.15,62.93,60.25,54.51,64.68,63.42,61.75,61.37,70.34,62.93,60.25,54.51,63.65,61.28,58.17,57.33,66.03,0.0,1.94,8.58,6.65,47.57,5.2,1.62,10.5,6.74,48.79,5.98,-3.02,4.4,6.29,40.65,0.61,1.94,8.58,6.65,47.57,5.2,1.62,10.5,6.74,48.79,5.98,-3.02,4.4,6.29,40.65,0.61
99,Netherlands,F&R,Food,SOUP,66.07,54.78,53.26,72.95,247.05,77.35,54.95,54.68,75.15,262.13,70.14,57.44,54.28,71.5,67.63,49.88,48.67,67.69,70.14,57.44,54.28,71.53,67.27,49.68,47.72,66.45,70.14,57.44,54.28,72.02,65.07,49.58,50.07,69.07,71.33,-7.89,-7.49,-3.35,-5.34,-7.69,-8.32,-9.25,-3.34,-6.45,-8.79,-10.13,-5.67,-3.15,-5.37,-7.91,-7.89,-7.49,-3.35,-5.34,-7.69,-8.32,-9.25,-3.34,-6.45,-8.79,-10.13,-5.67,-3.15,-5.37,-7.91
100,Netherlands,F&R,Food,Total,207.57,173.2,174.56,242.34,797.64,256.1,196.97,196.95,265.53,915.55,248.77,204.77,192.02,253.66,245.78,191.99,190.05,255.45,248.77,204.77,192.02,253.31,243.42,194.89,189.27,254.54,248.77,204.77,192.02,250.19,235.36,185.53,185.17,247.44,225.51,-3.48,-0.04,-1.78,10.73,-1.77,-3.36,-0.34,-1.82,10.59,-1.86,-7.19,-2.17,-2.16,7.0,-4.71,-5.69,-2.87,-4.73,1.0,-4.27,-5.43,-4.08,-4.83,0.41,-4.76,-9.17,-4.83,-5.19,-2.39,-7.02
101,Netherlands,HC,Fabric Solution,FABRIC CLEANING,73.59,73.08,73.75,75.14,295.55,79.29,66.97,74.29,74.05,294.6,79.59,73.46,76.39,78.44,83.28,75.9,79.37,78.91,79.59,73.46,76.39,78.15,82.97,74.72,78.58,77.72,79.59,73.46,76.39,78.94,81.06,75.69,80.32,80.32,65.98,4.01,2.24,4.51,7.42,3.12,3.03,1.14,4.41,6.24,2.08,2.42,3.42,4.68,7.39,2.92,4.01,2.24,4.51,7.42,3.12,3.03,1.14,4.41,6.24,2.08,2.42,3.42,4.68,7.39,2.92
102,Netherlands,BPC,Total,Total,70.48,79.43,82.1,77.13,309.15,78.24,77.27,81.75,77.15,314.41,79.06,80.5,84.56,81.03,80.41,85.91,89.46,85.19,79.06,80.5,84.56,80.84,80.18,84.77,89.35,85.41,79.06,80.5,84.56,81.14,83.84,89.14,92.25,87.46,101.59,4.24,5.47,3.42,10.29,4.86,3.38,5.66,3.35,9.89,4.54,8.42,8.45,3.45,14.09,8.44,4.2,5.48,3.4,10.36,4.83,3.33,5.65,3.33,9.93,4.49,8.41,8.44,3.43,14.19,8.42
103,Netherlands,F&R,Total,Total,207.57,173.2,174.56,242.34,797.64,256.1,196.97,196.95,265.53,915.55,248.77,204.77,192.02,253.66,245.78,191.99,190.05,255.45,248.77,204.77,192.02,253.31,243.42,194.89,189.27,254.54,248.77,204.77,192.02,250.19,235.36,185.53,185.17,247.44,225.51,-3.48,-0.04,-1.78,10.73,-1.77,-3.36,-0.34,-1.82,10.59,-1.86,-7.19,-2.17,-2.16,7.0,-4.71,-5.69,-2.87,-4.73,1.0,-4.27,-5.43,-4.08,-4.83,0.41,-4.76,-9.17,-4.83,-5.19,-2.39,-7.02
104,Netherlands,HC,Total,Total,73.59,73.08,73.75,75.14,295.55,79.29,66.97,74.29,74.05,294.6,79.59,73.46,76.39,78.44,83.28,75.9,79.37,78.91,79.59,73.46,76.39,78.15,82.97,74.72,78.58,77.72,79.59,73.46,76.39,78.94,81.06,75.69,80.32,80.32,65.98,4.01,2.24,4.51,7.42,3.12,3.03,1.14,4.41,6.24,2.08,2.42,3.42,4.68,7.39,2.92,4.01,2.24,4.51,7.42,3.12,3.03,1.14,4.41,6.24,2.08,2.42,3.42,4.68,7.39,2.92
105,Netherlands,Total,Total,Total,351.64,325.71,330.41,394.61,1402.34,413.63,341.21,352.99,416.73,1524.56,407.42,358.73,352.97,413.13,409.47,353.8,358.88,419.55,407.42,358.73,352.97,412.3,406.57,354.38,357.2,417.67,407.42,358.73,352.97,410.27,400.26,350.36,357.74,415.22,393.08,-0.37,1.61,0.5,9.94,0.62,-0.68,1.26,0.45,9.52,0.29,-2.02,1.27,0.32,8.65,-0.38,-1.51,0.14,-1.08,4.5,-0.68,-1.74,-0.69,-1.17,3.85,-1.22,-2.68,-0.01,-1.3,3.54,-1.36
106,Philippines,BPC,Hair Care,Conditioners,64.5,69.6,66.95,64.74,265.79,64.86,51.2,47.83,48.61,212.49,49.54,55.31,52.41,61.38,65.39,70.26,69.02,69.47,49.54,55.31,52.43,60.39,57.33,57.7,65.29,69.66,49.54,55.31,52.45,60.39,63.67,67.95,67.8,68.94,0.0,29.38,21.71,2.89,3.14,25.38,9.72,19.62,2.44,-5.95,14.85,25.54,21.18,2.45,0.97,23.28,29.38,21.71,2.89,3.14,25.38,9.72,19.62,2.44,-5.95,14.85,25.54,21.18,2.45,0.97,23.28
107,Philippines,BPC,Hair Care,Shampoo,102.16,109.01,104.87,105.01,421.06,106.11,94.18,86.79,91.21,378.29,90.12,100.37,99.45,105.69,107.08,113.08,109.26,110.75,90.12,100.37,99.48,105.82,101.89,103.74,106.25,111.06,90.12,100.37,99.51,105.68,106.99,112.75,108.65,110.09,0.0,15.57,7.25,4.59,4.54,11.26,7.95,5.85,4.63,0.45,6.86,15.35,6.6,4.6,4.14,10.81,15.57,7.25,4.59,4.54,11.26,7.95,5.85,4.63,0.45,6.86,15.35,6.6,4.6,4.14,10.81
108,Philippines,BPC,Hair Care,Total,166.66,178.61,171.82,169.75,686.85,170.97,145.38,134.62,139.82,590.78,139.66,155.68,151.86,167.07,172.47,183.34,178.28,180.22,139.66,155.68,151.91,166.21,159.22,161.44,171.54,180.72,139.66,155.68,151.96,166.07,170.66,180.7,176.45,179.03,0.0,20.47,12.41,3.98,4.0,16.28,8.57,10.73,3.84,-2.03,9.69,18.97,11.77,3.83,2.91,15.24,20.47,12.41,3.98,4.0,16.28,8.57,10.73,3.84,-2.03,9.69,18.97,11.77,3.83,2.91,15.24
109,Philippines,HC,Fabric Solution,Fabric Solution,185.19,187.71,192.97,198.04,763.91,197.33,164.61,149.33,156.02,667.29,158.87,171.23,171.41,173.49,181.79,187.62,188.94,190.25,158.87,171.23,171.41,173.33,173.43,172.44,189.03,190.09,158.87,171.23,171.41,175.31,196.51,197.63,206.68,208.03,0.0,11.9,9.94,1.16,-2.01,10.9,4.78,9.97,1.13,-5.1,7.43,19.4,19.61,1.43,5.88,19.51,11.9,9.94,1.16,-2.01,10.9,4.78,9.97,1.13,-5.1,7.43,19.4,19.61,1.43,5.88,19.51
110,Philippines,BPC,Total,Total,166.66,178.61,171.82,169.75,686.85,170.97,145.38,134.62,139.82,590.78,139.66,155.68,151.86,167.07,172.47,183.34,178.28,180.22,139.66,155.68,151.91,166.21,159.22,161.44,171.54,180.72,139.66,155.68,151.96,166.07,170.66,180.7,176.45,179.03,0.0,20.47,12.41,3.98,4.0,16.28,8.57,10.73,3.84,-2.03,9.69,18.97,11.77,3.83,2.91,15.24,20.47,12.41,3.98,4.0,16.28,8.57,10.73,3.84,-2.03,9.69,18.97,11.77,3.83,2.91,15.24
111,Philippines,HC,Total,Total,185.19,187.71,192.97,198.04,763.91,197.33,164.61,149.33,156.02,667.29,158.87,171.23,171.41,173.49,181.79,187.62,188.94,190.25,158.87,171.23,171.41,173.33,173.43,172.44,189.03,190.09,158.87,171.23,171.41,175.31,196.51,197.63,206.68,208.03,0.0,11.9,9.94,1.16,-2.01,10.9,4.78,9.97,1.13,-5.1,7.43,19.4,19.61,1.43,5.88,19.51,11.9,9.94,1.16,-2.01,10.9,4.78,9.97,1.13,-5.1,7.43,19.4,19.61,1.43,5.88,19.51
112,Philippines,Total,Total,Total,351.85,366.32,364.79,367.79,1450.76,368.3,309.99,283.95,295.84,1258.07,298.53,326.91,323.27,340.56,354.26,370.96,367.22,370.47,298.53,326.91,323.32,339.54,332.65,333.88,360.57,370.81,298.53,326.91,323.37,341.38,367.17,378.33,383.13,387.06,0.0,15.95,11.12,2.48,0.84,13.47,6.57,10.34,2.4,-3.64,8.51,19.2,15.86,2.55,4.48,17.48,15.95,11.12,2.48,0.84,13.47,6.57,10.34,2.4,-3.64,8.51,19.2,15.86,2.55,4.48,17.48
113,South Africa,BPC,Deos,Deodorants,77.91,72.11,72.33,77.91,300.27,76.88,62.86,64.29,76.07,280.1,74.01,71.24,71.34,76.35,78.86,75.76,76.16,79.57,74.01,71.24,71.3,74.96,76.1,73.5,74.03,78.25,74.01,71.24,71.61,75.31,83.78,80.12,76.36,79.75,56.12,6.46,5.45,4.58,3.36,5.95,3.0,4.11,4.07,0.54,3.56,12.84,6.25,4.31,6.57,9.53,6.46,5.45,4.58,3.36,5.95,3.0,4.11,4.07,0.54,3.56,12.84,6.25,4.31,6.57,9.53
114,South Africa,BPC,Skin Care,Face care,39.53,38.9,43.5,44.36,166.29,42.86,43.03,45.39,48.49,179.78,44.99,47.17,45.37,46.47,44.87,44.32,44.95,45.46,44.99,47.17,45.39,46.53,45.96,45.66,46.06,47.09,44.99,47.17,45.42,46.63,45.1,44.65,45.3,46.73,12.79,-3.23,-1.56,2.35,8.0,-2.4,-0.58,1.35,2.39,11.12,0.38,-2.61,-0.01,2.46,9.32,-1.31,-3.23,-1.56,2.35,8.0,-2.4,-0.58,1.35,2.39,11.12,0.38,-2.61,-0.01,2.46,9.32,-1.31
115,South Africa,BPC,Skin Care,Hand & Body care,51.02,50.91,53.95,57.23,213.11,51.14,49.53,50.85,55.96,207.48,49.53,53.89,54.32,56.93,53.81,55.14,56.82,59.01,49.53,53.89,54.31,56.62,52.64,54.17,55.64,58.94,49.53,53.89,54.34,56.7,53.26,54.64,56.18,58.22,51.8,5.34,4.12,3.47,5.48,4.71,3.28,3.3,3.31,3.89,3.29,4.33,3.02,3.37,4.31,3.65,5.34,4.12,3.47,5.48,4.71,3.28,3.3,3.31,3.89,3.29,4.33,3.02,3.37,4.31,3.65
116,South Africa,BPC,Skin Care,Total,90.55,89.81,97.45,101.59,379.4,94.0,92.56,96.24,104.45,387.26,94.52,101.06,99.69,103.4,98.68,99.46,101.77,104.47,94.52,101.06,99.7,103.15,98.6,99.83,101.7,106.03,94.52,101.06,99.76,103.33,98.36,99.29,101.48,104.95,64.6,1.3,1.55,2.95,6.58,1.43,1.46,2.41,2.88,7.06,1.94,1.06,1.65,2.95,6.51,1.36,3.64,3.0,3.25,5.98,3.3,2.52,2.91,3.13,5.32,2.71,2.96,2.42,3.19,5.3,2.67
117,South Africa,BPC,Skin Cleansing,Hand Wash,3.93,3.25,3.24,3.78,14.19,7.61,6.03,5.06,5.29,24.0,6.36,4.86,4.55,4.85,4.93,4.51,4.17,4.11,6.36,4.86,4.47,4.79,5.28,4.06,3.75,4.0,6.36,4.86,4.5,4.9,5.15,4.42,4.35,4.73,1.72,-15.82,-12.02,-14.09,24.84,-14.09,-16.76,-16.29,-14.68,20.42,-16.55,-14.58,-3.45,-14.07,31.52,-9.5,-15.82,-12.02,-14.09,24.84,-14.09,-16.76,-16.29,-14.68,20.42,-16.55,-14.58,-3.45,-14.07,31.52,-9.5
118,South Africa,BPC,Skin Cleansing,Skin Cleansing-Bar,52.4,50.56,50.79,52.92,206.67,54.07,49.93,48.78,51.94,204.72,50.22,49.87,49.3,51.18,51.6,50.72,50.55,51.66,50.22,49.87,49.07,50.79,50.6,50.0,50.05,51.56,50.22,49.87,49.27,50.76,50.93,50.16,49.96,51.04,56.69,2.23,1.71,-2.02,-1.04,1.97,0.51,1.75,-2.33,-2.16,1.13,0.99,0.98,-2.25,-2.22,0.98,2.23,1.71,-2.02,-1.04,1.97,0.51,1.75,-2.33,-2.16,1.13,0.99,0.98,-2.25,-2.22,0.98
119,South Africa,BPC,Skin Cleansing,Skin Cleansing-Liquid,12.41,11.4,12.1,14.34,50.26,14.28,11.9,12.24,15.0,53.41,13.78,13.4,12.96,14.8,13.58,13.07,12.89,14.24,13.78,13.4,13.12,14.95,13.99,13.45,13.63,15.44,13.78,13.4,13.13,14.99,14.08,13.56,13.73,15.46,8.87,-1.92,-2.26,2.83,7.01,-2.09,0.97,3.53,3.43,12.42,2.27,1.71,3.81,3.52,13.08,2.78,-1.92,-2.26,2.83,7.01,-2.09,0.97,3.53,3.43,12.42,2.27,1.71,3.81,3.52,13.08,2.78
120,South Africa,BPC,Skin Cleansing,Total,68.74,65.21,66.13,71.04,271.12,75.96,67.86,66.08,72.23,282.13,70.36,68.13,66.81,70.83,70.11,68.3,67.61,70.01,70.36,68.13,66.66,70.53,69.87,67.51,67.43,71.0,70.36,68.13,66.9,70.65,70.16,68.14,68.04,71.23,67.27,-0.05,-0.03,-2.13,1.81,-0.04,-0.8,0.9,-2.29,1.72,0.04,-0.13,1.25,-2.16,2.38,0.56,1.22,0.84,-1.69,0.68,1.03,0.13,1.52,-1.89,0.34,0.83,0.69,1.24,-1.79,0.66,0.95
121,South Africa,F&R,Food,Herbs And Spices,31.31,32.06,32.52,33.9,129.8,33.96,39.47,36.37,37.4,147.2,38.27,38.38,36.43,35.38,35.84,32.57,32.55,31.53,38.27,38.38,36.42,35.36,38.08,36.45,36.44,34.2,38.27,38.38,37.1,37.39,36.98,33.57,34.07,33.46,0.0,-10.74,-10.76,0.85,2.08,-10.75,-2.77,-1.59,0.83,11.84,-2.2,-7.96,-9.36,2.68,6.37,-8.65,-10.74,-10.76,0.85,2.08,-10.75,-2.77,-1.59,0.83,11.84,-2.2,-7.96,-9.36,2.68,6.37,-8.65
122,South Africa,F&R,Food,Regular Foil Soup,22.06,24.65,24.36,22.87,93.94,23.56,25.4,24.07,23.33,96.36,21.6,24.08,23.9,23.19,22.41,24.34,25.72,24.17,21.6,24.08,23.91,23.23,22.58,24.15,24.17,23.33,21.6,24.08,24.96,24.04,23.36,25.39,26.71,25.11,53.46,2.34,5.95,-3.72,2.87,4.18,2.29,0.77,-3.67,0.31,1.52,6.72,5.75,-1.74,7.06,6.22,2.34,5.95,-3.72,2.87,4.18,2.29,0.77,-3.67,0.31,1.52,6.72,5.75,-1.74,7.06,6.22
123,South Africa,F&R,Food,Stock & Cubes & Tabs,15.62,18.33,18.21,16.63,68.79,16.92,19.19,18.21,17.5,71.82,16.46,17.75,17.8,16.76,16.65,17.72,18.43,17.41,16.46,17.75,17.84,16.77,16.51,17.3,18.07,17.07,16.46,17.75,18.25,19.57,18.77,19.38,20.22,19.16,0.0,0.42,3.69,-4.23,2.05,2.07,-1.19,1.53,-4.17,0.22,0.18,11.49,4.13,0.3,12.69,7.63,0.42,3.69,-4.23,2.05,2.07,-1.19,1.53,-4.17,0.22,0.18,11.49,4.13,0.3,12.69,7.63
124,South Africa,F&R,Food,Tea,42.75,50.39,51.88,47.4,192.42,46.02,54.64,52.4,46.42,199.49,44.59,50.04,53.06,47.86,44.5,49.27,53.17,49.09,44.59,50.04,53.08,47.59,44.23,48.78,53.05,48.76,44.59,50.04,52.25,47.49,47.8,51.86,56.04,51.74,42.21,-0.92,1.33,-1.98,1.87,0.25,-1.71,1.13,-2.1,1.25,-0.24,5.32,8.06,-2.57,7.81,6.73,-0.92,1.33,-1.98,1.87,0.25,-1.71,1.13,-2.1,1.25,-0.24,5.32,8.06,-2.57,7.81,6.73
125,South Africa,F&R,Food,Total,111.74,125.43,126.97,120.8,484.95,120.46,138.7,131.05,124.65,514.87,120.92,130.25,131.19,123.19,119.4,123.9,129.87,122.2,120.92,130.25,131.25,122.95,121.4,126.68,131.73,123.36,120.92,130.25,132.56,128.49,126.91,130.2,137.04,129.47,95.67,-3.14,-0.9,-1.81,2.15,-2.02,-1.23,0.35,-1.84,3.76,-0.44,2.36,2.09,-0.51,7.97,2.22,0.9,3.91,-2.95,2.43,2.45,0.53,0.93,-2.98,0.72,0.74,6.1,6.77,-2.11,7.39,6.45
126,South Africa,HC,Home & Hygiene,Dishwash,21.14,20.97,21.55,23.27,86.93,22.7,23.61,22.75,25.22,94.28,23.5,23.33,22.23,23.58,22.18,22.45,22.47,23.5,23.5,23.33,22.24,23.6,22.63,22.51,22.55,23.96,23.5,23.33,22.36,24.2,22.48,22.6,22.69,24.56,63.08,-4.69,0.35,-1.75,4.22,-2.2,-3.6,1.45,-1.71,5.43,-1.1,-3.73,1.48,-0.94,6.22,-1.13,-4.69,0.35,-1.75,4.22,-2.2,-3.6,1.45,-1.71,5.43,-1.1,-3.73,1.48,-0.94,6.22,-1.13
127,South Africa,HC,Home & Hygiene,Fabric Solution,87.1,92.9,97.16,101.07,378.23,91.64,85.91,90.96,103.77,372.27,88.37,96.58,98.51,101.41,89.85,91.65,96.38,99.56,88.37,96.58,98.42,101.53,92.09,94.59,98.01,100.02,88.37,96.58,94.78,95.31,92.98,96.77,98.57,99.13,201.19,-1.86,-1.99,3.38,-0.21,-1.93,0.94,-0.96,3.39,1.71,-0.05,2.6,4.0,0.74,2.44,3.31,-1.86,-1.99,3.38,-0.21,-1.93,0.94,-0.96,3.39,1.71,-0.05,2.6,4.0,0.74,2.44,3.31
128,South Africa,HC,Home & Hygiene,Hard Surface cleaners,17.37,17.17,18.1,19.13,71.78,19.89,18.33,18.27,19.76,76.26,19.65,18.5,18.88,19.58,19.73,19.07,19.82,20.47,19.65,18.5,18.79,19.58,19.52,18.86,19.77,20.25,19.65,18.5,19.19,20.0,20.5,19.02,19.7,20.4,28.42,1.68,4.73,0.47,10.17,3.21,0.6,4.3,0.34,9.22,2.46,3.56,2.31,1.42,10.9,2.93,1.68,4.73,0.47,10.17,3.21,0.6,4.3,0.34,9.22,2.46,3.56,2.31,1.42,10.9,2.93
129,South Africa,HC,Home & Hygiene,Laundry Bar,19.94,21.95,23.44,24.59,89.92,22.64,21.03,21.95,24.94,90.55,20.86,22.58,21.65,21.89,20.9,21.62,22.05,22.36,20.86,22.58,21.64,21.89,20.9,21.75,22.0,22.73,20.86,22.58,22.91,24.08,22.59,23.54,23.73,24.89,44.72,-2.12,1.98,-3.94,-3.33,-0.06,-1.82,2.76,-3.95,-2.83,0.47,6.19,3.46,-0.13,5.37,4.77,-2.12,1.98,-3.94,-3.33,-0.06,-1.82,2.76,-3.95,-2.83,0.47,6.19,3.46,-0.13,5.37,4.77
130,South Africa,HC,Home & Hygiene,Toilet Cleaners,17.46,16.48,15.8,17.71,67.45,19.38,18.33,16.83,18.85,73.38,20.05,17.15,16.55,18.78,18.0,16.42,16.06,18.14,20.05,17.15,16.54,18.78,18.47,17.09,16.7,18.56,20.05,17.15,17.03,19.38,18.6,16.45,16.52,18.78,28.05,-7.45,-3.18,-1.17,1.75,-5.37,-4.41,-0.16,-1.17,5.0,-2.34,-5.79,-3.01,0.3,4.3,-4.41,-7.45,-3.18,-1.17,1.75,-5.37,-4.41,-0.16,-1.17,5.0,-2.34,-5.79,-3.01,0.3,4.3,-4.41
131,South Africa,HC,Home & Hygiene,Total,163.01,169.47,176.05,185.77,694.31,176.25,167.21,170.76,192.54,706.74,172.43,178.14,177.82,185.24,170.66,171.21,176.78,184.03,172.43,178.14,177.63,185.38,173.61,174.8,179.03,185.52,172.43,178.14,176.27,182.97,177.15,178.38,181.21,187.76,365.45,-2.48,-0.62,0.97,1.21,-1.53,-0.61,0.43,0.97,2.69,-0.08,1.41,2.71,0.44,4.35,2.07,-2.53,-0.67,1.02,1.13,-1.61,-0.62,0.38,1.02,2.63,-0.15,1.38,2.83,0.36,4.25,2.1
132,South Africa,BPC,Total,Total,237.2,227.13,235.91,250.54,950.79,246.84,223.28,226.61,252.75,949.49,238.89,240.43,237.84,250.58,247.65,243.52,245.54,254.05,238.89,240.43,237.66,248.64,244.57,240.84,243.16,255.28,238.89,240.43,238.27,249.29,252.3,247.55,245.88,255.93,187.98,2.47,2.28,1.92,4.2,2.38,1.27,2.5,1.7,3.48,1.89,4.29,2.92,1.83,5.35,3.6,3.62,2.96,1.88,3.3,3.28,1.81,2.77,1.61,2.11,2.29,5.09,3.14,1.74,4.02,4.1
133,South Africa,F&R,Total,Total,111.74,125.43,126.97,120.8,484.95,120.46,138.7,131.05,124.65,514.87,120.92,130.25,131.19,123.19,119.4,123.9,129.87,122.2,120.92,130.25,131.25,122.95,121.4,126.68,131.73,123.36,120.92,130.25,132.56,128.49,126.91,130.2,137.04,129.47,95.67,-3.14,-0.9,-1.81,2.15,-2.02,-1.23,0.35,-1.84,3.76,-0.44,2.36,2.09,-0.51,7.97,2.22,0.9,3.91,-2.95,2.43,2.45,0.53,0.93,-2.98,0.72,0.74,6.1,6.77,-2.11,7.39,6.45
134,South Africa,HC,Total,Total,163.01,169.47,176.05,185.77,694.31,176.25,167.21,170.76,192.54,706.74,172.43,178.14,177.82,185.24,170.66,171.21,176.78,184.03,172.43,178.14,177.63,185.38,173.61,174.8,179.03,185.52,172.43,178.14,176.27,182.97,177.15,178.38,181.21,187.76,365.45,-2.48,-0.62,0.97,1.21,-1.53,-0.61,0.43,0.97,2.69,-0.08,1.41,2.71,0.44,4.35,2.07,-2.53,-0.67,1.02,1.13,-1.61,-0.62,0.38,1.02,2.63,-0.15,1.38,2.83,0.36,4.25,2.1
135,South Africa,Total,Total,Total,511.95,522.03,538.93,557.11,2130.05,543.55,529.19,528.42,569.94,2171.1,532.24,548.82,546.85,559.01,537.71,538.63,552.19,560.28,532.24,548.82,546.54,556.97,539.58,542.32,553.92,564.16,532.24,548.82,547.1,560.75,556.36,556.13,564.13,573.16,649.1,-0.44,0.6,0.73,2.76,0.09,0.08,1.32,0.62,3.28,0.71,2.91,2.66,0.82,5.62,2.78,-0.25,1.06,0.69,1.95,0.4,0.25,1.16,0.61,2.2,0.69,3.15,3.5,0.4,4.65,3.32
136,United Kingdom,BPC,Deos,Deodorants,152.52,180.98,198.97,181.94,714.42,160.52,143.52,175.06,159.89,638.99,121.48,156.25,173.51,162.74,145.9,162.47,179.2,162.91,121.48,156.25,173.55,154.66,144.3,159.33,170.22,152.3,121.48,156.25,176.17,163.49,153.96,175.55,199.28,181.14,239.67,11.03,1.74,-3.91,-8.95,5.94,9.33,-1.73,-5.17,-12.35,3.34,18.65,12.0,-3.38,-0.63,14.99,11.03,1.74,-3.91,-8.95,5.94,9.33,-1.73,-5.17,-12.35,3.34,18.65,12.0,-3.38,-0.63,14.99
